Date,HomeTeam,AwayTeam,HomeScore,AwayScore,HomeOdd,AwayOdd,Game_Code,HomeTeamShort,VisitorTeamShort
2019-03-24,Boston Celtics,San Antonio Spurs,96,115,2.06,1.79,24032019_sa_bos,bos,sa
2019-03-24,Golden State Warriors,Detroit Pistons,121,114,1.18,5.16,24032019_det_gs,gs,det
2019-03-24,Los Angeles Lakers,Sacramento Kings,111,106,1.95,1.88,24032019_sac_lal,lal,sac
2019-03-24,New Orleans Pelicans,Houston Rockets,90,113,5.0,1.19,24032019_hou_no,no,hou
2019-03-25,Memphis Grizzlies,Oklahoma City Thunder,115,103,3.84,1.27,25032019_okc_mem,mem,okc
2019-03-25,Orlando Magic,Philadelphia 76ers,119,98,1.77,2.09,25032019_phi_orl,orl,phi
2019-03-25,Portland Trail Blazers,Brooklyn Nets,148,144,1.39,3.08,25032019_bkn_por,por,bkn
2019-03-25,Utah Jazz,Phoenix Suns,125,92,1.06,9.86,25032019_phx_uta,uta,phx
2019-03-26,Charlotte Hornets,San Antonio Spurs,125,116,2.57,1.53,26032019_sa_cha,cha,sa
2019-03-26,Cleveland Cavaliers,Boston Celtics,106,116,2.97,1.41,26032019_bos_cle,cle,bos
2019-03-26,Dallas Mavericks,Sacramento Kings,121,125,2.1,1.76,26032019_sac_dal,dal,sac
2019-03-26,Denver Nuggets,Detroit Pistons,95,92,1.3,3.65,26032019_det_den,den,det
2019-03-26,Los Angeles Lakers,Washington Wizards,124,106,1.7,2.19,26032019_wsh_lal,lal,wsh
2019-03-26,Miami Heat,Orlando Magic,99,104,1.61,2.36,26032019_orl_mia,mia,orl
2019-03-26,Milwaukee Bucks,Houston Rockets,108,94,1.64,2.32,26032019_hou_mil,mil,hou
2019-03-26,Minnesota Timberwolves,Los Angeles Clippers,111,122,2.25,1.67,26032019_lac_min,min,lac
2019-03-26,New Orleans Pelicans,Atlanta Hawks,120,130,2.18,1.72,26032019_atl_no,no,atl
2019-03-26,Toronto Raptors,Chicago Bulls,112,103,1.06,10.19,26032019_chi_tor,tor,chi
2019-03-27,Chicago Bulls,Portland Trail Blazers,98,118,4.42,1.22,27032019_por_chi,chi,por
2019-03-27,Memphis Grizzlies,Golden State Warriors,103,118,4.94,1.19,27032019_gs_mem,mem,gs
2019-03-27,Oklahoma City Thunder,Indiana Pacers,107,99,1.35,3.29,27032019_ind_okc,okc,ind
2019-03-27,Phoenix Suns,Washington Wizards,121,124,1.99,1.85,27032019_wsh_phx,phx,wsh
2019-03-27,Utah Jazz,Los Angeles Lakers,115,100,1.05,11.37,27032019_lal_uta,uta,lal
2019-03-28,Detroit Pistons,Orlando Magic,115,98,1.62,2.34,28032019_orl_det,det,orl
2019-03-28,Houston Rockets,Denver Nuggets,112,85,1.41,3.0,28032019_den_hou,hou,den
2019-03-28,Miami Heat,Dallas Mavericks,105,99,1.39,3.05,28032019_dal_mia,mia,dal
2019-03-28,Milwaukee Bucks,Los Angeles Clippers,128,118,1.18,5.19,28032019_lac_mil,mil,lac
2019-03-28,New Orleans Pelicans,Sacramento Kings,121,118,3.19,1.37,28032019_sac_no,no,sac
2019-03-28,New York Knicks,Toronto Raptors,92,117,5.51,1.16,28032019_tor_ny,ny,tor
2019-03-28,Philadelphia 76ers,Brooklyn Nets,123,110,1.32,3.53,28032019_bkn_phi,phi,bkn
2019-03-28,San Antonio Spurs,Cleveland Cavaliers,116,110,1.11,7.02,28032019_cle_sa,sa,cle
2019-03-29,Atlanta Hawks,Portland Trail Blazers,98,118,2.19,1.7,29032019_por_atl,atl,por
2019-03-29,Boston Celtics,Indiana Pacers,114,112,1.34,3.36,29032019_ind_bos,bos,ind
2019-03-29,Brooklyn Nets,Boston Celtics,110,96,1.57,2.48,30032019_bos_bkn,bkn,bos
2019-03-29,Houston Rockets,Sacramento Kings,119,108,1.18,5.16,30032019_sac_hou,hou,sac
2019-03-29,Los Angeles Clippers,Cleveland Cavaliers,132,108,1.24,4.23,30032019_cle_lac,lac,cle
2019-03-29,Los Angeles Lakers,Charlotte Hornets,129,115,2.09,1.76,29032019_cha_lal,lal,cha
2019-03-29,Minnesota Timberwolves,Golden State Warriors,131,130,5.17,1.18,29032019_gs_min,min,gs
2019-03-29,Oklahoma City Thunder,Denver Nuggets,105,115,1.52,2.58,29032019_den_okc,okc,den
2019-03-29,Utah Jazz,Washington Wizards,128,124,1.08,8.36,29032019_wsh_uta,uta,wsh
2019-03-30,Atlanta Hawks,Milwaukee Bucks,136,135,2.18,1.72,31032019_mil_atl,atl,mil
2019-03-30,Chicago Bulls,Toronto Raptors,101,124,5.62,1.16,30032019_tor_chi,chi,tor
2019-03-30,Detroit Pistons,Portland Trail Blazers,99,90,1.42,2.96,30032019_por_det,det,por
2019-03-30,Indiana Pacers,Orlando Magic,116,121,1.81,2.03,30032019_orl_ind,ind,orl
2019-03-30,Minnesota Timberwolves,Philadelphia 76ers,109,118,2.59,1.52,30032019_phi_min,min,phi
2019-03-30,New York Knicks,Miami Heat,92,100,3.45,1.32,30032019_mia_ny,ny,mia
2019-03-30,Oklahoma City Thunder,Dallas Mavericks,103,106,1.1,7.75,31032019_dal_okc,okc,dal
2019-03-30,Phoenix Suns,Memphis Grizzlies,115,120,2.11,1.76,30032019_mem_phx,phx,mem
2019-03-31,Denver Nuggets,Washington Wizards,90,95,1.15,5.65,31032019_wsh_den,den,wsh
2019-03-31,Golden State Warriors,Charlotte Hornets,137,90,1.13,6.39,31032019_cha_gs,gs,cha
2019-03-31,Los Angeles Clippers,Memphis Grizzlies,113,96,1.19,4.87,31032019_mem_lac,lac,mem
2019-03-31,New Orleans Pelicans,Los Angeles Lakers,102,130,1.64,2.31,31032019_lal_no,no,lal
2019-03-31,San Antonio Spurs,Sacramento Kings,106,113,1.17,5.37,31032019_sac_sa,sa,sac
2019-04-01,Boston Celtics,Miami Heat,110,105,1.35,3.29,01042019_mia_bos,bos,mia
2019-04-01,Brooklyn Nets,Milwaukee Bucks,121,131,1.83,2.01,01042019_mil_bkn,bkn,mil
2019-04-01,Dallas Mavericks,Philadelphia 76ers,122,102,2.68,1.49,01042019_phi_dal,dal,phi
2019-04-01,Indiana Pacers,Detroit Pistons,111,102,1.45,2.82,01042019_det_ind,ind,det
2019-04-01,Minnesota Timberwolves,Portland Trail Blazers,122,132,2.33,1.63,01042019_por_min,min,por
2019-04-01,New York Knicks,Chicago Bulls,113,105,1.61,2.38,01042019_chi_ny,ny,chi
2019-04-01,Phoenix Suns,Cleveland Cavaliers,122,113,1.8,2.05,01042019_cle_phx,phx,cle
2019-04-01,Toronto Raptors,Orlando Magic,121,109,1.35,3.26,01042019_orl_tor,tor,orl
2019-04-01,Utah Jazz,Charlotte Hornets,111,102,1.14,6.07,01042019_cha_uta,uta,cha
2019-04-02,Golden State Warriors,Denver Nuggets,116,102,1.24,4.09,02042019_den_gs,gs,den
2019-04-02,Oklahoma City Thunder,Los Angeles Lakers,119,103,1.09,7.76,02042019_lal_okc,okc,lal
2019-04-02,Sacramento Kings,Houston Rockets,105,130,3.02,1.4,02042019_hou_sac,sac,hou
2019-04-02,San Antonio Spurs,Atlanta Hawks,117,111,1.13,6.24,02042019_atl_sa,sa,atl
2019-04-03,Atlanta Hawks,Philadelphia 76ers,130,122,2.58,1.52,03042019_phi_atl,atl,phi
2019-04-03,Brooklyn Nets,Toronto Raptors,105,115,2.1,1.75,03042019_tor_bkn,bkn,tor
2019-04-03,Dallas Mavericks,Minnesota Timberwolves,108,110,1.73,2.14,03042019_min_dal,dal,min
2019-04-03,Denver Nuggets,San Antonio Spurs,113,85,1.5,2.68,03042019_sa_den,den,sa
